state;industry;position;tooltip
Alabama;Law Enforcement/Security;Counselor;"<h3 style=""margin-bottom: 0px"">Counselor</h3>
<i>Alabama</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$38,560 - $80,150</strong></p>

<p>16% is the share of the industry among all others in the state, which is quite low. Accordingly, the state is diverse in terms of other industries, but Law Enforcement/Security has a slight gap over all others.</p>
<p>The position of Counselor corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
Alaska;Science & Research;Geologist;"<h3 style=""margin-bottom: 0px"">Geologist</h3>
<i>Alaska</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$81,240-$124,380</strong></p>

<p>64% is the share of the industry among all others in the state, which is significantly high. Accordingly, the state is not as diverse as others and has a critical need for Science & Research.</p>
<p>The position of Geologist corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
Arizona;IT;Superintendent;"<h3 style=""margin-bottom: 0px"">Superintendent</h3>
<i>Arizona</i>

<p>16% is the share of the industry among all others in the state, which is quite low. Accordingly, the state is diverse in terms of other industries, but IT has a slight gap over all others.</p>
<p>The position of Superintendent doesn't correspond to the most in-demand industry in the state, so this confirms a sharp change in the demand for them among the state.</p>"
Arkansas;Building & Construction;Architect;"<h3 style=""margin-bottom: 0px"">Architect</h3>
<i>Arkansas</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$53,260 - $128,960</strong></p>

<p>17% is the share of the industry among all others in the state, which is quite low. Accordingly, the state is diverse in terms of other industries, but Building & Construction has a slight gap over all others.</p>
<p>The position of Architect corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
California;IT;Software Engineer;"<h3 style=""margin-bottom: 0px"">Software Engineer</h3>
<i>California</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$146,770</strong></p>

<p>14% is the share of the industry among all others in the state, which is quite low. Accordingly, the state is diverse in terms of other industries, but IT has a slight gap over all others.</p>
<p>The position of Software Engineer corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
Colorado;IT;Software Developer;"<h3 style=""margin-bottom: 0px"">Software Developer</h3>
<i>Colorado</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$120,140</strong></p>

<p>21% is the share of the industry among all others in the state, which is relatively low. Accordingly, the state is diverse in terms of other industries, but the need in the IT industry is significantly greater over all others.</p>
<p>The position of Software Developer corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
Connecticut;Accounting & Finance;CRNA;"<h3 style=""margin-bottom: 0px"">CRNA</h3>
<i>Connecticut</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$276,540</strong></p>

<p>18% is the share of the industry among all others in the state, which is quite low. Accordingly, the state is diverse in terms of other industries, but Accounting & Finance has a slight gap over all others.</p>
<p>The position of CRNA doesn't correspond to the most in-demand industry in the state, so this confirms a sharp change in the demand for them among the state.</p>"
Delaware;IT;Trader;"<h3 style=""margin-bottom: 0px"">Trader</h3>
<i>Delaware</i>

<p>32% is the share of the industry among all others in the state, which is relatively low. Accordingly, the state is diverse in terms of other industries, but the need in the IT industry is significantly greater over all others.</p>
<p>The position of Trader doesn't correspond to the most in-demand industry in the state, so this confirms a sharp change in the demand for them among the state.</p>"
Florida;IT;Project Manager;"<h3 style=""margin-bottom: 0px"">Project Manager</h3>
<i>Florida</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$91,540</strong></p>

<p>21% is the share of the industry among all others in the state, which is relatively low. Accordingly, the state is diverse in terms of other industries, but the need in the IT industry is significantly greater over all others.</p>
<p>The position of Project Manager corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
Georgia;Manufacturing. Warehouse & Production;Manufacturing Engineer;"<h3 style=""margin-bottom: 0px"">Manufacturing Engineer</h3>
<i>Georgia</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$63,540-$88,390</strong></p>

<p>37% is the share of the industry among all others in the state, which is relatively low. Accordingly, the state is diverse in terms of other industries, but the need in the Manufacturing, Warehouse & Production industry is significantly greater over all others.</p>
<p>The position of Manufacturing Engineer corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
Hawaii;Sales;Territory Sales Executive;"<h3 style=""margin-bottom: 0px"">Territory Sales Executive</h3>
<i>Hawaii</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$103,030</strong></p>

<p>41% is the share of the industry among all others in the state, which is relatively high. Accordingly, the state feels an acute need for it caused by various reasons.</p>
<p>The position of Territory Sales Executive corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
Idaho;Management level;Superintendent;"<h3 style=""margin-bottom: 0px"">Superintendent</h3>
<i>Idaho</i>

<p>37% is the share of the industry among all others in the state, which is relatively low. Accordingly, the state is diverse in terms of other industries, but the need in the Management level industry is significantly greater over all others.</p>
<p>The position of Superintendent corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
Illinois;Sales;Electrical Engineer;"<h3 style=""margin-bottom: 0px"">Electrical Engineer</h3>
<i>Illinois</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$100,190</strong></p>

<p>12% is the share of the industry among all others in the state, which is quite low. Accordingly, the state is diverse in terms of other industries, but Sales has a slight gap over all others.</p>
<p>The position of Electrical Engineer doesn't correspond to the most in-demand industry in the state, so this confirms a sharp change in the demand for them among the state.</p>"
Indiana;Healthcare & Therapy;Mechanical Engineer;"<h3 style=""margin-bottom: 0px"">Mechanical Engineer</h3>
<i>Indiana</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$87,930</strong></p>

<p>24% is the share of the industry among all others in the state, which is relatively low. Accordingly, the state is diverse in terms of other industries, but the need in the Healthcare & Therapy industry is significantly greater over all others.</p>
<p>The position of Mechanical Engineer doesn't correspond to the most in-demand industry in the state, so this confirms a sharp change in the demand for them among the state.</p>"
Iowa;Healthcare & Therapy;Administrator;"<h3 style=""margin-bottom: 0px"">Administrator</h3>
<i>Iowa</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$45,620-$105,850</strong></p>

<p>19% is the share of the industry among all others in the state, which is quite low. Accordingly, the state is diverse in terms of other industries, but Healthcare & Therapy has a slight gap over all others.</p>
<p>The position of Administrator doesn't correspond to the most in-demand industry in the state, so this confirms a sharp change in the demand for them among the state.</p>"
Kansas;Engineering;Plant Manager;"<h3 style=""margin-bottom: 0px"">Plant Manager</h3>
<i>Kansas</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$113,480</strong></p>

<p>68% is the share of the industry among all others in the state, which is significantly high. Accordingly, the state is not as diverse as others and has a critical need for Engineering.</p>
<p>The position of Plant Manager doesn't correspond to the most in-demand industry in the state, so this confirms a sharp change in the demand for them among the state.</p>"
Kentucky;Engineering;Building Engineer;"<h3 style=""margin-bottom: 0px"">Building Engineer</h3>
<i>Kentucky</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$87,220</strong></p>

<p>23% is the share of the industry among all others in the state, which is relatively low. Accordingly, the state is diverse in terms of other industries, but the need in the Engineering industry is significantly greater over all others.</p>
<p>The position of Building Engineer corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
Louisiana;Sales;Sales Manager;"<h3 style=""margin-bottom: 0px"">Sales Manager</h3>
<i>Louisiana</i>
<p style=""margin-top: 0px"">Median Salary Pay: <strong>$113,770</strong></p>

<p>20% is the share of the industry among all others in the state, which is quite low. Accordingly, the state is diverse in terms of other industries, but Sales has a slight gap over all others.</p>
<p>The position of Sales Manager corresponds to the most in-demand industry in the state, so this confirms its precedence.</p>"
